OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS
11482,2007,CA,CDF,TGU,216.81304932,1500121.94702193,4876.31663481661,Rx-North-071,N/A-random mosaics,3,2007/12/10 00:00:00+00,2007/12/10 00:00:00+00,250,1,1,1
11483,2007,CA,CDF,BEU,263.84597778,1650577.07062209,5109.32653182886,CABEU004901,HASTINGS_VMP,3,2007/12/12 00:00:00+00,2007/12/12 00:00:00+00,265,3,1,1
11484,2007,CA,CDF,TGU,935.75933838,6472365.24104839,11477.2233617083,Rx-North-070,Barker,3,2007/05/31 00:00:00+00,2007/05/31 00:00:00+00,870,4,1,1
11485,2007,CA,CDF,CZU,398.53039551,2545097.58820136,8989.99768727346,Rx-North-032-CZU,Big Basin/Sunset Trail,3,2007/11/08 00:00:00+00,2007/12/07 00:00:00+00,400,2,2,2
11486,2007,CA,CDF,CZU,143.62785339,920837.200270555,4796.79542444802,Rx-North-031-CZU,Russian Ridge,3,2007/07/26 00:00:00+00,2007/07/26 00:00:00+00,120,3,2,2
11487,2014,CA,CDF,LNU,4.67100048,30768.44307043,750.062835859549,,SONOMA MT VMP,3,2014/06/01 00:00:00+00,2014/06/01 00:00:00+00,4.67100039,3,1,1
11488,2014,CA,BLM,CND,46.03565979,284290.87632973,2208.75693254727,6279839,2_Atwell Island Project Broadcast,3,2004/03/18 00:00:00+00,2014/03/18 00:00:00+00,40,,,
11489,2014,CA,BLM,CND,100.38301086,627757.949588515,4173.15770684397,6285241,2_Laguna Mt. Rx,3,2014/02/25 00:00:00+00,2014/03/18 00:00:00+00,100,,,
11490,2014,CA,BLM,CDD,98.48432922,578816.17457248,3926.12248242627,3303632,1_MA Lake Mathews Rx-4,3,2013/12/20 00:00:00+00,2014/04/04 00:00:00+00,98,,,
11491,2014,CA,BLM,CDD,48.55215073,284993.745658425,3789.65356962962,6279861,1_MA Steele Peak Rx-3,3,2013/10/04 00:00:00+00,2014/02/19 00:00:00+00,55,,,
